DateYear;Semaine;ConfigStarted;ConfigCompleted;UniqueVisitor;UtileVisitor;Nombre_inscription;TTC_Gazole;Budget_displayBRAND;Budget_displayROI;PRESSE_InvestissementsEnEuros_QUOT_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO;PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO;Presse Totale Inv;Presse Totale quo Inv;Presse Totale nonquo Inv;RADIO_InvestissementsEnEuros;MOBILE_Volume_Achete;MOBILE_Net_Budget_LC;Investissement_Affichage;INTERNET_DISPLAY_InvestissementsEnEuros_BMW;PRESS INV BMW;RADIO_InvBMW;TV GRP BMW;TV INV BMW;Inv_aff_BMW;display_invMERCEDES;Press inv Mercedes;RADIO_InvMERCEDES;Investissement_Affichage_MERCEDES;TV INV MERCEDES;TV GRP MERCEDES;IsMondialAuto2014;IsOPO;IsPrimeAlaCasse;IsJourdelan;IsPentecôte;IsAsscention;IsPâcques;IsF?tedutravail;Is08Mais;Is14Juillet;Is15ao?t;IspremierNovembre;Is11Novembre;IsNoël
2014;4;18191;4364;26235;20114;59;1.3238;0;0;170 000;13720;0;0;183 720;170000;13720;5650;0;0;277;30135;16915;262494;230;32251;2958;24204;13732;262494;348938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;4;21321;5346;28206;21890;37;1.3238;0;0;217 000;0;0;0;217 000;217000;0;5670;0;0;277;30135;47914;95981;172;21672;2958;24204;22313;95981;348938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;4;22376;5598;30396;23485;36;1.326;0;0;0;0;0;0;0;0;0;5150;0;0;1683;30135;0;0;123;25006;190032;24204;14606;0;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;18478;4330;26632;20532;69;1.326;0;0;0;0;0;0;0;0;0;18635;0;0;1683;30135;0;0;323;42711;190032;24204;113;0;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;17223;4097;24009;18218;80;1.326;0;0;773;0;0;0;773;773;0;18245;0;0;1683;30135;0;0;130;22567;190032;24204;6851;0;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;17246;3945;28088;22349;82;1.326;0;0;0;0;0;0;0;0;0;16070;0;0;1683;30135;0;262126;180;17535;190032;24204;50016;262126;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;16697;3930;24022;18310;99;1.326;0;0;0;0;0;0;0;0;0;16460;0;0;1683;30135;35834;331528;224;32765;190032;24204;1098;331528;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;16646;3782;23369;18590;107;1.326;0;0;46 233;12800;0;0;59 033;46233;12800;19320;0;0;1683;30135;31967;346978;247;31400;190032;24204;2700;346978;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;20159;4794;26742;20402;30;1.326;2702.19121588966;1607.52364198859;198 600;0;0;0;198 600;198600;0;0;0;0;1683;86056;23681;100316;539;61177;190032;30530;45141;100316;85024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;5;20054;4664;27687;21134;28;1.3266;797.339776550237;474.334508218881;0;0;0;0;0;0;0;0;0;0;18794;86056;0;0;477;114000;63722;30530;15215;0;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;17885;4247;24994;19300;118;1.3266;4308.53374771357;2563.13092168606;0;0;0;0;0;0;0;0;0;0;18794;86056;92200;0;255;38773;63722;30530;544243;0;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;17089;3988;25723;19874;96;1.3266;4773.71210578672;2839.86382050789;0;1136;0;0;1 136;0;1136;20115;0;0;18794;86056;0;0;299;45905;63722;30530;113;0;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;17820;4103;27123;20999;112;1.3266;3146.19610279707;1871.66052048374;48 580;0;0;0;48 580;48580;0;20115;0;0;18794;86056;12127;4490;143;25739;63722;30530;70568;4490;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;16987;3994;26529;20221;64;1.3266;838.702122577442;498.940816142561;0;0;0;0;0;0;0;20115;0;0;18794;86056;49086;304148;164;27233;63722;30530;58706;304148;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;17616;3925;28999;20128;59;1.3266;759.809032535174;452.007606276906;59 443;32800;0;0;92 243;59443;32800;20115;0;0;18794;86056;20779;299328;162;28175;63722;30530;8834;299328;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;20734;4983;34890;23319;34;1.3266;790.012988919273;469.975829133794;269 316;0;0;0;269 316;269316;0;4545;0;0;18794;86056;7250;78316;152;23493;63722;30530;26731;78316;347320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;6;20872;5069;30292;23405;43;1.3294;774.158476345213;460.544037761985;6 059;0;0;0;6 059;6059;0;0;0;0;81484;86056;3364;1380;429;71640;806;30530;1835;1380;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;17431;4140;28340;21544;89;1.3294;777.3366594315;462.43472722161;0;0;0;0;0;0;0;5550;0;0;81484;86056;0;277969;187;29502;806;30530;547789;277969;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;16276;3593;24796;18672;32;1.3294;719.134494069851;427.810472548731;4 753;0;0;0;4 753;4753;0;5000;0;0;81484;86056;3633;285314;130;28164;806;30530;8834;285314;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;17307;3842;27965;21749;80;1.3294;730.930401977082;434.827814892267;46 233;0;0;0;46 233;46233;0;3450;0;0;81484;86056;2424;131859;131;25387;806;30530;10689;131859;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;16863;3873;26327;20320;81;1.3294;919.567154984874;547.047127287652;0;6400;0;0;6 400;0;6400;3800;0;0;81484;86056;5600;8380;233;36879;806;30530;552964;8380;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;15989;3665;24511;18260;71;1.3294;1604.71002787807;954.636109088548;46 233;42800;0;0;89 033;46233;42800;3980;0;0;81484;86056;19499;8490;163;23575;806;30530;22467;8490;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;20692;4788;33174;24996;36;1.3294;1798.71917697588;1070.05144021053;198 600;4530;0;0;203 130;198600;4530;10432;0;0;81484;86056;2849;0;204;35419;806;30530;58810;0;113142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;7;22614;5331;36504;27660;37;1.3308;1764.42288924005;1049.64870444424;0;0;0;0;0;0;0;8702;0;0;49934;86056;0;0;702;127574;0;30530;27679;0;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;18215;4209;24870;18149;52;1.3308;1228.36741571667;730.75126963687;0;0;0;0;0;0;0;6257;0;0;49934;86056;0;290513;0;0;0;30530;546078;290513;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;16862;4041;24170;16674;51;1.3308;2173.59234776268;1293.06211437876;9 506;0;0;0;9 506;9506;0;7581;0;0;49934;86056;9206;256979;0;0;0;30530;6781;256979;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;18159;4292;93438;19592;63;1.3308;19037.9577807923;11325.6112475846;0;0;0;0;0;0;0;6257;0;0;49934;86056;2424;97409;0;0;0;30530;113;97409;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;16717;3649;28493;18130;46;1.3308;2466.73203071764;1467.44983645563;4 296;11500;0;0;15 796;4296;11500;7581;0;0;49934;86056;37604;0;0;0;0;30530;674;0;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;17415;3846;30834;19793;61;1.3308;2471.37952602116;1470.21461436347;46 233;21500;0;0;67 733;46233;21500;6257;0;0;49934;86056;46233;0;0;0;0;30530;52313;0;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;19561;4399;29022;19277;44;1.3308;2459.92210868734;1463.39863882038;0;0;0;0;0;0;0;7712;0;0;49934;86056;11019;0;0;0;0;30530;17803;0;4079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;8;19078;4093;28020;18519;53;1.3317;2368.99054908676;1409.30378757474;1 955;0;0;0;1 955;1955;0;6432;0;0;12637;86056;0;0;0;0;2747;30530;3801;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;17276;3920;26481;17618;66;1.3317;2177.15597450398;1295.18210285484;0;33900;0;0;33 900;0;33900;7201;0;0;12637;86056;193400;0;0;0;2747;30530;544130;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;17229;4049;25528;17155;70;1.3317;2039.38520380759;1213.22277674678;728;0;0;0;728;728;0;7554;0;0;12637;86056;4753;0;0;0;2747;30530;113;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;18392;4310;26249;17488;39;1.3317;2255.97078863652;1342.06874666893;0;0;0;0;0;0;0;7201;0;0;12637;86056;2424;0;0;0;2747;30530;11208;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;16985;3948;23832;16098;42;1.3317;1885.58719687434;1121.72890659351;0;13550;0;0;13 550;0;13550;7554;0;0;12637;86056;49719;0;0;0;2747;30530;113;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;16674;3920;24108;16027;26;1.3317;2694.06588562279;1602.68991281866;0;0;0;0;0;0;0;7201;0;0;12637;86056;20876;0;0;0;2747;30530;38650;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;9;17859;4253;24557;16538;36;1.3317;2959.26034959879;1760.45312663533;8 151;0;0;0;8 151;8151;0;3240;0;0;12637;65866;5975;0;0;0;2747;8661;8985;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
